date,profit
20150130,1.000
20150227,1.007
20150331,0.983
20150427,1.005
20150529,1.023
20150630,1.032
20150731,1.033
20150831,1.025
20150930,1.132
20151030,1.163
20151130,1.112
20151231,1.151
20160129,1.123
20160229,1.163
20160331,1.283
20160429,1.426
20160531,1.465
20160630,1.559
20160729,1.565
20160831,1.607
20160930,1.637
20161031,1.642
20161130,1.675
20161230,1.622
20170125,1.692
20170228,1.871
20170331,1.967
20170428,2.019
20170531,2.267
20170630,2.548
20170731,2.646
20170831,2.642
20170929,2.721
20171031,2.635
20171130,2.740
20171229,2.744
20180131,2.986
20180228,3.067
20180330,3.223
20180427,3.160
20180531,3.067
20180629,3.086
20180731,3.156
20180831,3.421
20180928,3.795
20181031,3.635
20181130,3.663
20181228,3.684
20190131,3.552
20190228,3.682
20190329,3.856
20190426,3.908
20190531,3.730
20190628,3.754
20190731,3.760
20190830,3.883
20190930,3.811
20191031,3.869
20191129,3.844
20191231,3.939
20200131,3.921
20200228,3.963
20200331,3.247
20200429,3.741
20200529,4.353
20200630,4.566
20200731,4.492
20200831,4.984
20200930,5.142
20201030,5.018
20201130,5.670
20201231,6.511
20210129,6.851
20210226,7.452
20210331,8.233
20210429,8.552
